STT,Mã tỉnh (BNV),Tên tỉnh/TP mới,Mã tỉnh (TMS),Số tự tăng,Mã phường/xã mới,Tên Phường/Xã mới,Trạng thái rà soát cuối
1,1,Thành phố Hà Nội,101,1,10105001,Phường Hoàn Kiếm,
2,1,Thành phố Hà Nội,101,2,10105002,Phường Cửa Nam,
3,1,Thành phố Hà Nội,101,3,10101003,Phường Ba Đình,
4,1,Thành phố Hà Nội,101,4,10101004,Phường Ngọc Hà,
5,1,Thành phố Hà Nội,101,5,10101005,Phường Giảng Võ,
6,1,Thành phố Hà Nội,101,6,10107006,Phường Hai Bà Trưng,
7,1,Thành phố Hà Nội,101,7,10107007,Phường Vĩnh Tuy,
8,1,Thành phố Hà Nội,101,8,10107008,Phường Bạch Mai,
9,1,Thành phố Hà Nội,101,9,10109009,Phường Đống Đa,
10,1,Thành phố Hà Nội,101,10,10109010,Phường Kim Liên,
11,1,Thành phố Hà Nội,101,11,10109011,Phường Văn Miếu - Quốc Tử Giám,
12,1,Thành phố Hà Nội,101,12,10109012,Phường Láng,
13,1,Thành phố Hà Nội,101,13,10109013,Phường Ô Chợ Dừa,
14,1,Thành phố Hà Nội,101,14,10103014,Phường Hồng Hà,
15,1,Thành phố Hà Nội,101,15,10108015,Phường Lĩnh Nam,
16,1,Thành phố Hà Nội,101,16,10108016,Phường Hoàng Mai,
17,1,Thành phố Hà Nội,101,17,10108017,Phường Vĩnh Hưng,
18,1,Thành phố Hà Nội,101,18,10108018,Phường Tương Mai,
19,1,Thành phố Hà Nội,101,19,10108019,Phường Định Công,
20,1,Thành phố Hà Nội,101,20,10123020,Phường Hoàng Liệt,
21,1,Thành phố Hà Nội,101,21,10108021,Phường Yên Sở,
22,1,Thành phố Hà Nội,101,22,10111022,Phường Thanh Xuân,
23,1,Thành phố Hà Nội,101,23,10111023,Phường Khương Đình,
24,1,Thành phố Hà Nội,101,24,10111024,Phường Phương Liệt,
25,1,Thành phố Hà Nội,101,25,10113025,Phường Cầu Giấy,
26,1,Thành phố Hà Nội,101,26,10113026,Phường Nghĩa Đô,
27,1,Thành phố Hà Nội,101,27,10113027,Phường Yên Hoà,
28,1,Thành phố Hà Nội,101,28,10103028,Phường Tây Hồ,
29,1,Thành phố Hà Nội,101,29,10157029,Phường Phú Thượng,
30,1,Thành phố Hà Nội,101,30,10157030,Phường Tây Tựu,
31,1,Thành phố Hà Nội,101,31,10157031,Phường Phú Diễn,
32,1,Thành phố Hà Nội,101,32,10157032,Phường Xuân Đỉnh,
33,1,Thành phố Hà Nội,101,33,10157033,Phường Đông Ngạc,
34,1,Thành phố Hà Nội,101,34,10157034,Phường Thượng Cát,
35,1,Thành phố Hà Nội,101,35,10155035,Phường Từ Liêm,
36,1,Thành phố Hà Nội,101,36,10155036,Phường Xuân Phương,
37,1,Thành phố Hà Nội,101,37,10155037,Phường Tây Mỗ,
38,1,Thành phố Hà Nội,101,38,10155038,Phường Đại Mỗ,
39,1,Thành phố Hà Nội,101,39,10106039,Phường Long Biên,
40,1,Thành phố Hà Nội,101,40,10106040,Phường Bồ Đề,
41,1,Thành phố Hà Nội,101,41,10106041,Phường Việt Hưng,
42,1,Thành phố Hà Nội,101,42,10106042,Phường Phúc Lợi,
43,1,Thành phố Hà Nội,101,43,10127043,Phường Hà Đông,
44,1,Thành phố Hà Nội,101,44,10127044,Phường Dương Nội,
45,1,Thành phố Hà Nội,101,45,10127045,Phường Yên Nghĩa,
46,1,Thành phố Hà Nội,101,46,10127046,Phường Phú Lương,
47,1,Thành phố Hà Nội,101,47,10127047,Phường Kiến Hưng,
48,1,Thành phố Hà Nội,101,48,10123048,Xã Thanh Trì,
49,1,Thành phố Hà Nội,101,49,10123049,Xã Đại Thanh,
50,1,Thành phố Hà Nội,101,50,10123050,Xã Nam Phù,
51,1,Thành phố Hà Nội,101,51,10123051,Xã Ngọc Hồi,
52,1,Thành phố Hà Nội,101,52,10123052,Phường Thanh Liệt,
53,1,Thành phố Hà Nội,101,53,10143053,Xã Thượng Phúc,
54,1,Thành phố Hà Nội,101,54,10143054,Xã Thường Tín,
55,1,Thành phố Hà Nội,101,55,10143055,Xã Chương Dương,
56,1,Thành phố Hà Nội,101,56,10143056,Xã Hồng Vân,
57,1,Thành phố Hà Nội,101,57,10149057,Xã Phú Xuyên,
58,1,Thành phố Hà Nội,101,58,10149058,Xã Phượng Dực,
59,1,Thành phố Hà Nội,101,59,10149059,Xã Chuyên Mỹ,
60,1,Thành phố Hà Nội,101,60,10149060,Xã Đại Xuyên,
61,1,Thành phố Hà Nội,101,61,10141061,Xã Thanh Oai,
62,1,Thành phố Hà Nội,101,62,10141062,Xã Bình Minh,
63,1,Thành phố Hà Nội,101,63,10141063,Xã Tam Hưng,
64,1,Thành phố Hà Nội,101,64,10141064,Xã Dân Hoà,
65,1,Thành phố Hà Nội,101,65,10147065,Xã Vân Đình,
66,1,Thành phố Hà Nội,101,66,10147066,Xã Ứng Thiên,
67,1,Thành phố Hà Nội,101,67,10147067,Xã Hoà Xá,
68,1,Thành phố Hà Nội,101,68,10147068,Xã Ứng Hoà,
69,1,Thành phố Hà Nội,101,69,10145069,Xã Mỹ Đức,
70,1,Thành phố Hà Nội,101,70,10145070,Xã Hồng Sơn,
71,1,Thành phố Hà Nội,101,71,10145071,Xã Phúc Sơn,
72,1,Thành phố Hà Nội,101,72,10145072,Xã Hương Sơn,
73,1,Thành phố Hà Nội,101,73,10153073,Phường Chương Mỹ,
74,1,Thành phố Hà Nội,101,74,10153074,Xã Phú Nghĩa,
75,1,Thành phố Hà Nội,101,75,10153075,Xã Xuân Mai,
76,1,Thành phố Hà Nội,101,76,10153076,Xã Trần Phú,
77,1,Thành phố Hà Nội,101,77,10153077,Xã Hoà Phú,
78,1,Thành phố Hà Nội,101,78,10153078,Xã Quảng Bị,
79,1,Thành phố Hà Nội,101,79,10151079,Xã Minh Châu,
80,1,Thành phố Hà Nội,101,80,10151080,Xã Quảng Oai,
81,1,Thành phố Hà Nội,101,81,10151081,Xã Vật Lại,
82,1,Thành phố Hà Nội,101,82,10151082,Xã Cổ Đô,
83,1,Thành phố Hà Nội,101,83,10151083,Xã Bất Bạt,
84,1,Thành phố Hà Nội,101,84,10151084,Xã Suối Hai,
85,1,Thành phố Hà Nội,101,85,10151085,Xã Ba Vì,
86,1,Thành phố Hà Nội,101,86,10151086,Xã Yên Bài,
87,1,Thành phố Hà Nội,101,87,10129087,Phường Sơn Tây,
88,1,Thành phố Hà Nội,101,88,10129088,Phường Tùng Thiện,
89,1,Thành phố Hà Nội,101,89,10129089,Xã Đoài Phương,
90,1,Thành phố Hà Nội,101,90,10131090,Xã Phúc Thọ,
91,1,Thành phố Hà Nội,101,91,10131091,Xã Phúc Lộc,
92,1,Thành phố Hà Nội,101,92,10131092,Xã Hát Môn,
93,1,Thành phố Hà Nội,101,93,10135093,Xã Thạch Thất,
94,1,Thành phố Hà Nội,101,94,10135094,Xã Hạ Bằng,
95,1,Thành phố Hà Nội,101,95,10135095,Xã Tây Phương,
96,1,Thành phố Hà Nội,101,96,10135096,Xã Hoà Lạc,
97,1,Thành phố Hà Nội,101,97,10135097,Xã Yên Xuân,
98,1,Thành phố Hà Nội,101,98,10139098,Xã Quốc Oai,
99,1,Thành phố Hà Nội,101,99,10139099,Xã Hưng Đạo,
100,1,Thành phố Hà Nội,101,100,10139100,Xã Kiều Phú,
101,1,Thành phố Hà Nội,101,101,10139101,Xã Phú Cát,
102,1,Thành phố Hà Nội,101,102,10137102,Xã Hoài Đức,
103,1,Thành phố Hà Nội,101,103,10137103,Xã Dương Hoà,
104,1,Thành phố Hà Nội,101,104,10137104,Xã Sơn Đồng,
105,1,Thành phố Hà Nội,101,105,10137105,Xã An Khánh,
106,1,Thành phố Hà Nội,101,106,10133106,Xã Đan Phượng,
107,1,Thành phố Hà Nội,101,107,10133107,Xã Ô Diên,
108,1,Thành phố Hà Nội,101,108,10133108,Xã Liên Minh,
109,1,Thành phố Hà Nội,101,109,10119109,Xã Gia Lâm,
110,1,Thành phố Hà Nội,101,110,10119110,Xã Thuận An,
111,1,Thành phố Hà Nội,101,111,10119111,Xã Bát Tràng,
112,1,Thành phố Hà Nội,101,112,10119112,Xã Phù Đổng,
113,1,Thành phố Hà Nội,101,113,10117113,Xã Thư Lâm,
114,1,Thành phố Hà Nội,101,114,10117114,Xã Đông Anh,
115,1,Thành phố Hà Nội,101,115,10117115,Xã Phúc Thịnh,
116,1,Thành phố Hà Nội,101,116,10117116,Xã Thiên Lộc,
117,1,Thành phố Hà Nội,101,117,10117117,Xã Vĩnh Thanh,
118,1,Thành phố Hà Nội,101,118,10125118,Xã Mê Linh,
119,1,Thành phố Hà Nội,101,119,10125119,Xã Yên Lãng,
120,1,Thành phố Hà Nội,101,120,10125120,Xã Tiến Thắng,
121,1,Thành phố Hà Nội,101,121,10125121,Xã Quang Minh,
122,1,Thành phố Hà Nội,101,122,10115122,Xã Sóc Sơn,
123,1,Thành phố Hà Nội,101,123,10115123,Xã Đa Phúc,
124,1,Thành phố Hà Nội,101,124,10115124,Xã Nội Bài,
125,1,Thành phố Hà Nội,101,125,10115125,Xã Trung Giã,
126,1,Thành phố Hà Nội,101,126,10115126,Xã Kim Anh,
127,2,Tỉnh Bắc Ninh,223,1,22113001,Xã Đại Sơn,
128,2,Tỉnh Bắc Ninh,223,2,22113002,Xã Sơn Động,
129,2,Tỉnh Bắc Ninh,223,3,22113003,Xã Tây Yên Tử,
130,2,Tỉnh Bắc Ninh,223,4,22113004,Xã Dương Hưu,
